INFO 2024-12-06 16:33:16,779 autoreload Watching for file changes with StatReloader
DEBUG 2024-12-06 16:33:16,780 autoreload Waiting for apps ready_event.
DEBUG 2024-12-06 16:33:16,864 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-12-06 16:33:16,912 autoreload Watching dir C:\xampp\htdocs\TEST\registration\templates with glob **/*.
DEBUG 2024-12-06 16:33:16,913 autoreload Watching dir C:\xampp\htdocs\TEST\templates with glob **/*.
DEBUG 2024-12-06 16:33:16,914 autoreload Watching dir C:\xampp\htdocs\TEST\locale with glob **/*.mo.
DEBUG 2024-12-06 16:33:16,915 autoreload Watching dir C:\xampp\htdocs\TEST\registration\locale with glob **/*.mo.
DEBUG 2024-12-06 16:33:16,916 autoreload Watching dir C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\widget_tweaks\locale with glob **/*.mo.
DEBUG 2024-12-06 16:33:17,343 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\_compression.py first seen with mtime 1729230833.6851964
DEBUG 2024-12-06 16:33:17,344 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\argparse.py first seen with mtime 1729230828.0304835
DEBUG 2024-12-06 16:33:17,345 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\json\encoder.py first seen with mtime 1729230830.118889
DEBUG 2024-12-06 16:33:17,346 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\templatetags\i18n.py first seen with mtime 1729230974.3051243
DEBUG 2024-12-06 16:33:17,347 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\urls\utils.py first seen with mtime 1729230974.326048
DEBUG 2024-12-06 16:33:17,349 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\glob.py first seen with mtime 1729230829.2644193
DEBUG 2024-12-06 16:33:17,351 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\templatetags\__init__.py first seen with mtime 1729230974.3031094
DEBUG 2024-12-06 16:33:17,352 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\utils\timesince.py first seen with mtime 1729230974.3629758
DEBUG 2024-12-06 16:33:17,354 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\db\models\enums.py first seen with mtime 1729230974.1116233
DEBUG 2024-12-06 16:33:17,355 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\wsgiref\simple_server.py first seen with mtime 1729230833.5752575
DEBUG 2024-12-06 16:33:17,356 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\core\serializers\base.py first seen with mtime 1729230974.0119102
DEBUG 2024-12-06 16:33:17,358 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1729230973.8902156
DEBUG 2024-12-06 16:33:17,359 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\django\db\models\deletion.py first seen with mtime 1729230974.1106293
DEBUG 2024-12-06 16:33:17,361 autoreload File C:\Users\ITG - EQUIP1455 GIO\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\LocalCache\local-packages\Python311\site-packages\PIL\_typing.py first seen with mtime 1732232418.0775115
DEBUG 2024-12-06 16:33:17,362 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\_compat_pickle.py first seen with mtime 1729230833.6847463
DEBUG 2024-12-06 16:33:17,363 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\_weakrefset.py first seen with mtime 1729230833.695907
DEBUG 2024-12-06 16:33:17,365 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\email\errors.py first seen with mtime 1729230828.553794
DEBUG 2024-12-06 16:33:17,367 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.11_3.11.2544.0_x64__qbz5n2kfra8p0\Lib\email\mime\message.py first seen with mtime 1729230828.5598094
